concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	concept_code
2000133	Formation of cranial bone flap	Procedure	ICD9Proc	4-dig billing code	02.03
2000684	Resection of one extraocular muscle	Procedure	ICD9Proc	4-dig billing code	15.13
2001148	Alveoloplasty	Procedure	ICD9Proc	3-dig billing code	24.5
2004407	Amputation of cervix	Procedure	ICD9Proc	3-dig billing code	67.4
2005905	Revision of knee replacement, not otherwise specified	Procedure	ICD9Proc	4-dig billing code	81.55
2104418	Synovectomy, metacarpophalangeal joint including intrinsic release and extensor hood reconstruction, each digit	Procedure	CPT4	CPT4	26135
2104919	Closed treatment of greater trochanteric fracture, without manipulation	Procedure	CPT4	CPT4	27246
2105720	Open treatment of tarsal bone fracture (except talus and calcaneus), includes internal fixation, when performed, each	Procedure	CPT4	CPT4	28465
2106444	Laryngectomy; total, with radical neck dissection	Procedure	CPT4	CPT4	31365
2107719	Repair blood vessel with vein graft; upper extremity	Procedure	CPT4	CPT4	35236
2108327	Percutaneous transluminal mechanical thrombectomy, vein(s), including intraprocedural pharmacological thrombolytic injections and fluoroscopic guidance, repeat treatment on subsequent day during course of thrombolytic therapy	Procedure	CPT4	CPT4	37188
2211354	Magnetic resonance imaging, brain, functional MRI; including test selection and administration of repetitive body part movement and/or visual stimulation, not requiring physician or psychologist administration	Procedure	CPT4	CPT4	70554
2211637	Mechanical removal of pericatheter obstructive material (eg, fibrin sheath) from central venous device via separate venous access, radiologic supervision and interpretation	Procedure	CPT4	CPT4	75901
2213041	Smear, primary source with interpretation; special stain for inclusion bodies or parasites (eg, malaria, coccidia, microsporidia, trypanosomes, herpes viruses)	Measurement	CPT4	CPT4	87207
2313790	Temporary transcutaneous pacing	Procedure	CPT4	CPT4	92953
2721955	Hearing aid, digital, monaural, itc	Device	HCPCS	HCPCS	V5255
2733065	Occlusion of Lower Artery with Intraluminal Device, Percutaneous Approach	Procedure	ICD10PCS	ICD10PCS	04LY3DZ
2742013	Excision of Left Ethmoid Sinus, Percutaneous Endoscopic Approach	Procedure	ICD10PCS	ICD10PCS	09BV4ZZ
2749690	Dilation of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic	Procedure	ICD10PCS	ICD10PCS	0F768ZZ
2752296	Excision of Right Thyroid Gland Lobe, Open Approach	Procedure	ICD10PCS	ICD10PCS	0GBH0ZZ
2753137	Resection of Lower Esophagus, Percutaneous Endoscopic Approach	Procedure	ICD10PCS	ICD10PCS	0DT34ZZ
2755614	Release Left Abdomen Muscle, Open Approach	Procedure	ICD10PCS	ICD10PCS	0KNL0ZZ
2756531	Insertion of Reservoir into Chest Subcutaneous Tissue and Fascia, Open Approach	Procedure	ICD10PCS	ICD10PCS	0JH60WZ
2794457	Bed Mobility Treatment using Assistive, Adaptive, Supportive or Protective Equipment	Procedure	ICD10PCS	ICD10PCS	F07Z5FZ
4059989	A/N care: H/O trophoblastic disease	Observation	SNOMED	Context-dependent	169585004
4111052	Does use hearing aid	Observation	SNOMED	Clinical Finding	285055002
4115830	Loose body in hip joint	Condition	SNOMED	Clinical Finding	202160008
4118634	Skin grafting	Procedure	SNOMED	Procedure	304040003
4198141	Post infarct angina	Condition	SNOMED	Clinical Finding	314116003
4253315	Nocturnal sleep-related eating disorder	Condition	SNOMED	Clinical Finding	407666007
19002308	Desonide 0.5 MG/ML Topical Cream [Tridesilon]	Drug	RxNorm	Branded Drug	103439
19066496	alosetron 1 MG Oral Tablet	Drug	RxNorm	Clinical Drug	259306
19123202	Dapsone 0.05 MG/MG Topical Gel	Drug	RxNorm	Clinical Drug	607295
19132601	Menthol 100 MG/ML / methyl salicylate 150 MG/ML Topical Cream [Bengay Original]	Drug	RxNorm	Branded Drug	808994
19133261	propoxyphene napsylate 100 MG Oral Tablet [Darvon-N]	Drug	RxNorm	Branded Drug	827750
19133378	1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]	Drug	RxNorm	Quant Branded Drug	830245
37116441	Diverticulitis of small intestine with perforation and abscess	Condition	SNOMED	Clinical Finding	733150001
40172144	dexmethylphenidate hydrochloride 10 MG Extended Release Oral Capsule	Drug	RxNorm	Clinical Drug	899442
40173468	24 HR Hydromorphone Hydrochloride 12 MG Extended Release Oral Tablet	Drug	RxNorm	Quant Clinical Drug	902729
40180087	Promethazine Hydrochloride 50 MG	Drug	RxNorm	Clinical Drug Comp	992474
40221811	Dextran 70 1 MG/ML / Polyethylene Glycol 400 10 MG/ML / Povidone 10 MG/ML / Tetrahydrozoline hydrochloride 0.5 MG/ML Ophthalmic Solution [Visine Advanced Relief]	Drug	RxNorm	Branded Drug	996206
40223291	Ascorbic Acid 75 MG / Ferrous fumarate 333 MG / Folic Acid 0.5 MG / liver stomach concentrate 240 MG / Vitamin B 12 0.015 MG Oral Capsule	Drug	RxNorm	Clinical Drug	999799
40234624	Menthol 0.16 MG/MG Topical Gel [Flexall]	Drug	RxNorm	Branded Drug	1087519
40234732	Nystatin 100000 UNT/ML / Triamcinolone Acetonide 1 MG/ML Topical Cream [Mycolog]	Drug	RxNorm	Branded Drug	1053768
40240371	24 HR Pramipexole dihydrochloride 3.75 MG Extended Release Oral Tablet [Mirapex]	Drug	RxNorm	Quant Branded Drug	1114487
40243414	Atropine Sulfate 0.4 MG/ML Injectable Solution	Drug	RxNorm	Clinical Drug	1190776
40490995	Malignant neoplasm of posterior mediastinum	Condition	SNOMED	Clinical Finding	448670003
42800223	hydrocortisone acetate 0.02 MG/MG / Pramoxine hydrochloride 0.01 MG/MG Topical Gel [Novacort]	Drug	RxNorm	Branded Drug	1293729
43530951	Venous complication in the puerperium	Condition	SNOMED	Clinical Finding	609497003
44506752	riociguat	Drug	RxNorm	Ingredient	1439816
44507846	Hydrocortisone 20 MG/ML Topical Lotion [Dermasorb HC]	Drug	RxNorm	Branded Drug	1442871
45757789	Postpartum gestational diabetes mellitus	Condition	SNOMED	Clinical Finding	40791000119105
46269818	Hepatic coma due to alcoholic liver failure	Condition	SNOMED	Clinical Finding	1082621000119108
31339	Dental restoration esthetically inadequate or displeasing	Condition	SNOMED	Clinical Finding	109730006
78009	Traumatic pneumothorax with open wound into thorax	Condition	SNOMED	Clinical Finding	22897006
195464	Epidemic pleurodynia	Condition	SNOMED	Clinical Finding	83264000
196019	Tuberculosis of intestines, peritoneum and mesenteric glands	Condition	SNOMED	Clinical Finding	186225008
313833	Puerperal cerebrovascular disorder with postnatal complication	Condition	SNOMED	Clinical Finding	200333003
376703	Disorder of pinna	Condition	SNOMED	Clinical Finding	41663005
380322	Postvaricella encephalitis	Condition	SNOMED	Clinical Finding	186509002
380505	Congenital cataract and lens anomalies	Condition	SNOMED	Clinical Finding	268159001
434673	Soft tissue impingement on teeth	Condition	SNOMED	Clinical Finding	21366000
436292	Accidental collision with stationary object	Observation	SNOMED	Clinical Finding	217897003
438259	Umbilical hemorrhage after birth	Condition	SNOMED	Clinical Finding	82986004
438948	Late effect of accident caused by fire	Condition	SNOMED	Clinical Finding	218251009
442140	Neoplasm of uncertain behavior of pleura	Condition	SNOMED	Clinical Finding	95006006
704988	Trifluoperazine 10 MG Oral Tablet	Drug	RxNorm	Clinical Drug	198323
1335713	12 HR Disopyramide 150 MG Extended Release Oral Capsule	Drug	RxNorm	Quant Clinical Drug	636794
1397076	valerian root extract 100 MG Oral Capsule	Drug	RxNorm	Clinical Drug	259145
1547507	rosiglitazone 8 MG Oral Tablet [Avandia]	Drug	RxNorm	Branded Drug	261243
1584930	Somatropin 5 MG/ML Injectable Solution	Drug	RxNorm	Clinical Drug	241975
1718083	Soft Gelatin Methoxsalen 10 MG Oral Capsule	Drug	RxNorm	Clinical Drug	1812434
1738669	doxycycline hyclate 20 MG Oral Tablet [Periostat]	Drug	RxNorm	Branded Drug	351988
2000080	Revision of knee replacement, femoral component	Procedure	ICD9Proc	4-dig billing code	00.82
2000220	Cranial or peripheral nerve graft	Procedure	ICD9Proc	3-dig billing code	04.5
2000277	Complete substernal thyroidectomy	Procedure	ICD9Proc	4-dig billing code	06.52
2000452	Destruction of lesion of conjunctiva	Procedure	ICD9Proc	4-dig billing code	10.32
2002064	Resection of vessel with anastomosis, other thoracic vessels	Procedure	ICD9Proc	4-dig billing code	38.35
2002905	Other operations on intestines	Procedure	ICD9Proc	4-dig billing code	46.99
2006618	Insertion or replacement of multiple array (two or more) rechargeable neurostimulator pulse generator	Procedure	ICD9Proc	4-dig billing code	86.98
2007972	Proctoclysis	Procedure	ICD9Proc	4-dig billing code	96.37
2102495	Excision, excessive skin and subcutaneous tissue (includes lipectomy); other area	Procedure	CPT4	CPT4	15839
2103261	Open treatment of depressed zygomatic arch fracture (eg, Gillies approach)	Procedure	CPT4	CPT4	21356
2107173	Valvectomy, tricuspid valve, with cardiopulmonary bypass	Procedure	CPT4	CPT4	33460
2108837	Control oropharyngeal hemorrhage, primary or secondary (eg, post-tonsillectomy); simple	Procedure	CPT4	CPT4	42960
2109278	Repair of high imperforate anus with rectourethral or rectovaginal fistula; perineal or sacroperineal approach	Procedure	CPT4	CPT4	46740
2109447	Excision of presacral or sacrococcygeal tumor	Procedure	CPT4	CPT4	49215
2109669	Continent diversion, including intestine anastomosis using any segment of small and/or large intestine (Kock pouch or Camey enterocystoplasty)	Procedure	CPT4	CPT4	50825
2110267	Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with radical dissection for debulking (ie, radical excision or destruction, intra-abdominal or retroperitoneal tumors)	Procedure	CPT4	CPT4	58952
2110703	Laminectomy for biopsy/excision of intraspinal neoplasm; extradural, thoracic	Procedure	CPT4	CPT4	63276
2110819	Neuroplasty, major peripheral nerve, arm or leg, open; lumbar plexus	Procedure	CPT4	CPT4	64714
2211621	Venography, renal, bilateral, selective, radiological supervision and interpretation	Procedure	CPT4	CPT4	75833
2721921	Hearing aid, monaural, behind the ear	Device	HCPCS	HCPCS	V5060
2723994	Revision of Synthetic Substitute in Cerebral Ventricle, Percutaneous Approach	Procedure	ICD10PCS	ICD10PCS	00W63JZ
2726563	Supplement Ventricular Septum with Nonautologous Tissue Substitute, Open Approach	Procedure	ICD10PCS	ICD10PCS	02UM0KZ
2732872	Restriction of Right Internal Carotid Artery with Intraluminal Device, Percutaneous Approach	Procedure	ICD10PCS	ICD10PCS	03VK3DZ
2744873	Resection of Right Ethmoid Sinus, Percutaneous Endoscopic Approach	Procedure	ICD10PCS	ICD10PCS	09TU4ZZ
2747244	Bypass Descending Colon to Cutaneous, Percutaneous Endoscopic Approach	Procedure	ICD10PCS	ICD10PCS	0D1M4Z4
2748805	Dilation of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic	Procedure	ICD10PCS	ICD10PCS	0D7N8ZZ
2749422	Repair Upper Lip, Open Approach	Procedure	ICD10PCS	ICD10PCS	0CQ00ZZ
2756539	Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach	Procedure	ICD10PCS	ICD10PCS	0JH638Z
2763434	Excision of Left Upper Femur, Open Approach, Diagnostic	Procedure	ICD10PCS	ICD10PCS	0QB70ZX
2768615	Insertion of Internal Fixation Device into Left Tibia, Open Approach	Procedure	ICD10PCS	ICD10PCS	0QHH04Z
2780109	Excision of Left Fallopian Tube, Open Approach	Procedure	ICD10PCS	ICD10PCS	0UB60ZZ
2786580	Fluoroscopy of Right Common Carotid Artery	Procedure	ICD10PCS	ICD10PCS	B313ZZZ
2787942	Ultrasonography of Pancreas	Procedure	ICD10PCS	ICD10PCS	BF47ZZZ
2793211	Contact Radiation of Femur	Procedure	ICD10PCS	ICD10PCS	DPY97ZZ
4001965	Infection of multiple bones	Condition	SNOMED	Clinical Finding	203240001
4099746	Alopecia mucinosa	Condition	SNOMED	Clinical Finding	27382006
4119134	Thrombocytopenic purpura	Condition	SNOMED	Clinical Finding	302873008
4175644	Sleep state misperception	Condition	SNOMED	Clinical Finding	427745001
4247084	Enteropathic arthritis	Condition	SNOMED	Clinical Finding	9350004
4252862	Enterostomy infection	Condition	SNOMED	Clinical Finding	409662001
4253778	Disorder of filtering bleb	Condition	SNOMED	Clinical Finding	410724009
4330878	Papulosquamous dermatosis	Condition	SNOMED	Clinical Finding	22585003
19020947	ferrous sulfate 159 MG Extended Release Oral Tablet	Drug	RxNorm	Clinical Drug	198999
19027885	Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo	Drug	RxNorm	Clinical Drug	204638
19033286	estradiol valerate 20 MG/ML Injectable Solution [Delestrogen]	Drug	RxNorm	Branded Drug	206715
19036927	Hydrochlorothiazide 50 MG Oral Tablet [HydroDIURIL]	Drug	RxNorm	Branded Drug	207945
19042683	Acetaminophen 160 MG Chewable Tablet [Mapap]	Drug	RxNorm	Branded Drug	209870
19069717	pine bark extract 30 MG Oral Capsule [Pycnogenol]	Drug	RxNorm	Branded Drug	282851
19074841	12 HR Cefaclor 500 MG Extended Release Oral Tablet	Drug	RxNorm	Quant Clinical Drug	309043
19102466	aprepitant 125 MG Oral Capsule	Drug	RxNorm	Clinical Drug	403811
19121208	desloratadine 2.5 MG Disintegrating Oral Tablet	Drug	RxNorm	Clinical Drug	577080
19124205	Sodium Chloride 0.154 MEQ/ML Irrigation Solution [Saljet]	Drug	RxNorm	Branded Drug	631504
19127439	synthetic conjugated estrogens, B 0.9 MG Oral Tablet [Enjuvia]	Drug	RxNorm	Branded Drug	730880
19131597	Fluoxetine 15 MG Oral Tablet	Drug	RxNorm	Clinical Drug	803293
19132991	{12 (Ethinyl Estradiol 0.035 MG / Norethindrone 0.5 MG Oral Tablet) / 9 (Ethinyl Estradiol 0.035 MG / Norethindrone 1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack	Drug	RxNorm	Clinical Pack	823777
35604117	2 ML Clindamycin 150 MG/ML Injection	Drug	RxNorm	Quant Clinical Drug	1737244
37116608	Open bite of pelvic region	Condition	SNOMED	Clinical Finding	733377000
40161652	darunavir 150 MG Oral Tablet [Prezista]	Drug	RxNorm	Branded Drug	850457
40166819	24 HR Hydrochlorothiazide 12.5 MG / metoprolol succinate 25 MG Extended Release Oral Tablet	Drug	RxNorm	Quant Clinical Drug	866461
40171496	24 HR Trazodone Hydrochloride 300 MG Extended Release Oral Tablet [Oleptro]	Drug	RxNorm	Quant Branded Drug	898706
40227064	Lidocaine Hydrochloride 20 MG/ML Topical Spray	Drug	RxNorm	Clinical Drug	1010769
40229228	Atropine Sulfate 0.0194 MG / Hyoscyamine Sulfate 0.1037 MG / Phenobarbital 16.2 MG / Scopolamine Hydrobromide 0.0065 MG Oral Capsule [Donnatal]	Drug	RxNorm	Branded Drug	1046810
42628284	Balloon dilation, ureteral stricture, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)	Procedure	CPT4	CPT4	50706
42629040	Ciprofloxacin 3 MG/ML / Fluocinolone Acetonide 0.25 MG/ML Otic Solution [Otovel]	Drug	RxNorm	Branded Drug	1792391
42708709	Docusate Sodium 100 MG Oral Capsule [Phillips Stool Softener]	Drug	RxNorm	Branded Drug	1248002
42742490	Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of	Procedure	CPT4	CPT4	15277
43012140	Mineral Oil 999 MG/ML Topical Oil	Drug	RxNorm	Clinical Drug	1364062
43526237	Isotretinoin 10 MG Oral Capsule [Zenatane]	Drug	RxNorm	Branded Drug	1373333
44782749	Family disruption due to extended absence of family member	Observation	SNOMED	Clinical Finding	134571000119103
44785173	Dextromethorphan Hydrobromide 2 MG/ML / Guaifenesin 40 MG/ML / Phenylephrine Hydrochloride 1 MG/ML Oral Suspension	Drug	RxNorm	Clinical Drug	1486140
45775471	Benzoyl Peroxide 0.05 MG/MG / clindamycin phosphate 0.012 MG/MG Topical Gel [Neuac]	Drug	RxNorm	Branded Drug	1540246
46257446	Esophagoscopy, rigid, transoral with diverticulectomy of hypopharynx or cervical esophagus (eg, Zenker's diverticulum), with cricopharyngeal myotomy, includes use of telescope or operating microscope and repair, when performed	Procedure	CPT4	CPT4	43180
46275159	rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML Injection [Imovax]	Drug	RxNorm	Branded Drug	1658040
22426	Congenital macrostomia	Condition	SNOMED	Clinical Finding	40159009
78233	Old medial collateral ligament disruption	Condition	SNOMED	Clinical Finding	202109007
134137	Osteomyelitis of multiple sites	Condition	SNOMED	Clinical Finding	91538002
136205	Chronic osteomyelitis of upper arm	Condition	SNOMED	Clinical Finding	203185005
136639	Primary malignant neoplasm of sphenoidal sinus	Condition	SNOMED	Clinical Finding	94067008
136937	Benign neoplasm of endocrine gland	Condition	SNOMED	Clinical Finding	92085000
192496	Unilateral traumatic amputation of leg below knee with complication	Observation	SNOMED	Clinical Finding	72375002
192581	Carcinoma in situ of uterus	Condition	SNOMED	Clinical Finding	92788005
196182	Obstructed labor caused by pelvic soft tissues - delivered	Condition	SNOMED	Clinical Finding	199769001
374941	Retained foreign body of eyelid	Condition	SNOMED	Clinical Finding	25012008
375838	Objective tinnitus	Condition	SNOMED	Clinical Finding	28715001
376424	Monocular esotropia with A pattern	Condition	SNOMED	Clinical Finding	58409000
377568	Nystagmus associated with disorder of the vestibular system	Condition	SNOMED	Clinical Finding	46888001
432764	Intracranial hemorrhage following injury without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) without return to pre-existing level	Condition	SNOMED	Clinical Finding	1430001
433146	Blastomycosis	Condition	SNOMED	Clinical Finding	69996000
434672	Microgenia	Condition	SNOMED	Clinical Finding	109522008
435219	Schizophrenia in remission	Condition	SNOMED	Clinical Finding	4926007
439134	Acrocephalosyndactyly	Condition	SNOMED	Clinical Finding	268262006
439704	Residual disintegrative psychoses	Condition	SNOMED	Clinical Finding	191693002
440226	Sacrum sprain	Condition	SNOMED	Clinical Finding	209566009
778325	Imipramine pamoate 150 MG Oral Capsule	Drug	RxNorm	Clinical Drug	835577
919840	Arnica extract 200 MG/ML Topical Solution	Drug	RxNorm	Clinical Drug	244615
952004	sevelamer	Drug	RxNorm	Ingredient	214824
960953	Aloe Extract 25 MG Oral Capsule	Drug	RxNorm	Clinical Drug	359152
963353	Glycopyrrolate	Drug	RxNorm	Ingredient	4955
979098	Zinc Acetate 50 MG Oral Capsule	Drug	RxNorm	Clinical Drug	199995
1326594	Pulmonary hypertension due to left heart disease	Condition	ICD10CM	5-char billing code	I27.22
1340128	Captopril	Drug	RxNorm	Ingredient	1998
1398056	ST. JOHN'S WORT EXTRACT 150 MG Oral Tablet	Drug	RxNorm	Clinical Drug	252712
1510207	miglitol 50 MG Oral Tablet [Glyset]	Drug	RxNorm	Branded Drug	213486
1510208	miglitol 100 MG Oral Tablet [Glyset]	Drug	RxNorm	Branded Drug	213487
1585150	0.25 ML Somatropin 3.2 MG/ML Prefilled Syringe [Genotropin]	Drug	RxNorm	Quant Branded Drug	762843
1701957	Activated Charcoal 260 MG Oral Capsule	Drug	RxNorm	Clinical Drug	237836
1753747	Albendazole 200 MG Oral Tablet	Drug	RxNorm	Clinical Drug	199672
2000190	Injection of anesthetic into spinal canal for analgesia	Procedure	ICD9Proc	4-dig billing code	03.91
2000237	Removal of peripheral neurostimulator lead(s)	Procedure	ICD9Proc	4-dig billing code	04.93
2000393	Reconstruction of eyelid involving lid margin, full-thickness	Procedure	ICD9Proc	4-dig billing code	08.73
2000412	Biopsy of lacrimal gland	Procedure	ICD9Proc	4-dig billing code	09.11
2000544	Other scleral fistulization with iridectomy	Procedure	ICD9Proc	4-dig billing code	12.65
2000890	Stapedectomy with incus replacement	Procedure	ICD9Proc	4-dig billing code	19.11
2000962	Excision of lesion of middle ear	Procedure	ICD9Proc	4-dig billing code	20.51
2001216	Other skin graft to lip and mouth	Procedure	ICD9Proc	4-dig billing code	27.56
2001318	Other operations on larynx	Procedure	ICD9Proc	4-dig billing code	31.98
2002350	Autologous bone marrow transplant without purging	Procedure	ICD9Proc	4-dig billing code	41.01
2002842	Repair of pericolostomy hernia	Procedure	ICD9Proc	4-dig billing code	46.42
2003872	Closure of other fistula of urethra	Procedure	ICD9Proc	4-dig billing code	58.43
2005864	Refusion of other cervical spine, posterior column, posterior technique	Procedure	ICD9Proc	4-dig billing code	81.33
2006633	Other contrast radiogram of brain and skull	Procedure	ICD9Proc	4-dig billing code	87.02
2007589	Spinal traction using skull device	Procedure	ICD9Proc	4-dig billing code	93.41
2008394	Ultraviolet light therapy	Procedure	ICD9Proc	4-dig billing code	99.82
2101037	Anesthesia for lithotripsy, extracorporeal shock wave; with water bath	Procedure	CPT4	CPT4	00872
2103379	Division of scalenus anticus; with resection of cervical rib	Procedure	CPT4	CPT4	21705
2104477	Excision flexor tendon, with implantation of synthetic rod for delayed tendon graft, hand or finger, each rod	Procedure	CPT4	CPT4	26390
2104514	Tenolysis, complex, extensor tendon, finger, including forearm, each tendon	Procedure	CPT4	CPT4	26449
2105024	Removal of foreign body, deep, thigh region or knee area	Procedure	CPT4	CPT4	27372
2105244	Arthrotomy, ankle, including exploration, drainage, or removal of foreign body	Procedure	CPT4	CPT4	27610
2106261	Repair fistula; oromaxillary (combine with 31030 if antrotomy is included)	Procedure	CPT4	CPT4	30580
2107095	Repair of cardiac wound; without bypass	Procedure	CPT4	CPT4	33300
2107599	Open brachial artery exposure to assist in the deployment of aortic or iliac endovascular prosthesis by arm incision, unilateral	Procedure	CPT4	CPT4	34834
2108164	Therapeutic apheresis; with extracorporeal immunoadsorption and plasma reinfusion	Procedure	CPT4	CPT4	36515
2109148	Incision and drainage of deep supralevator, pelvirectal, or retrorectal abscess	Procedure	CPT4	CPT4	45020
2109186	Sigmoidoscopy, flexible; with decompression (for pathologic distention) (eg, volvulus, megacolon), including placement of decompression tube, when performed	Procedure	CPT4	CPT4	45337
2109386	Anastomosis, of intrahepatic ducts and gastrointestinal tract	Procedure	CPT4	CPT4	47765
2109822	Transurethral incision of prostate	Procedure	CPT4	CPT4	52450
